Gene,Type,,,,,,,,,,,
Ermn,OLIGODENDROCYTE,,,,,,,,,,,
Cldn11,OLIGODENDROCYTE,,,,,,,,,,,
Mog,OLIGODENDROCYTE,,,,,,,,,,,
Mbp,Oligo-related ,,,,,,,,,,,
Mag,Oligo-related ,,,,,,,,,,,
Pllp,Oligo-related ,,,,,,,,,,,
Ccdc153,EPENDYMAL,,,,,,,,,,,
Dnah11,EPENDYMAL,,,,,,,,,,,
Tmem212,EPENDYMAL,,,,,,,,,,,
Pdgfra,OPC,,,,,,,,,,,
Tnr,OPC,,,,,,,,,,,
Mgp,VASCULAR LEPTOMENINGEAL ,,,,,,,,,,,
Bgn,VASCULAR LEPTOMENINGEAL ,,,,,,,,,,,
Slc47a1,VASCULAR LEPTOMENINGEAL ,,,,,,,,,,,
Acta2,VSMC,,,,,,,,,,,
Tagln,VSMC,,,,,,,,,,,
Vtn,PERICYTES,,,,,,,,,,,
Kcnj8,PERICYTES,,,,,,,,,,,
Atp13a5,PERICYTES,,,,,,,,,,,
Flt1,ENDOTHELIAL,,,,,,,,,,,
Emcn,ENDOTHELIAL,,,,,,,,,,,
Cldn5,ENDOTHELIAL,,,,,,,,,,,
Car12,CHOROID PLEXUS,,,,,,,,,,,
Ttr,CHOROID PLEXUS,,,,,,,,,,,
Col1a2,FIBROBLASTS,,,,,,,,,,,
Lum,FIBROBLASTS,,,,,,,,,,,
Dcx,NEUROPROGENITOR,,,,,,,,,,,
Pax6,NEUROPROGENITOR,,,,,,,,,,,
Cd247,PBMC,,,,,,,,,,,
Snap25,PAN-NEURONAL,,,,,,,,,,,
Grin2a,PAN-NEURONAL,,,,,,,,,,,
Grin2b,PAN-NEURONAL,,,,,,,,,,,
Cux2,L2/3 IT,,,,,,,,,,,
Otof,L2/3 IT,,,,,,,,,,,
Stard8,L2/3 IT,,,,,,,,,,,
Lypd1,L2/3 IT,,,,,,,,,,,
Lrg1,L2/3 IT,,,,,,,,,,,
Adamts2,L2/3 IT,,,,,,,,,,,
Macc1,L2/3 IT,,,,,,,,,,,
Rapgef3,L5 PT,,,,,,,,,,,
Rorb,L5 IT,,,,,,,,,,,
Tcap,L5 IT,,,,,,,,,,,
Hsd11b1,L5 IT,,,,,,,,,,,
Rspo1,L5 IT,,,,,,,,,,,
Whrn,L5 IT,,,,,,,,,,,
Tunar,L6 IT,,,,,,,,,,,
Osr1,L6 IT,,,,,,,,,,,
Oprk1,L6 IT,,,,,,,,,,,
Pou3f1,L5 ET,,,,,,,,,,,
Tshz2,L5/6 NP,,,,,,,,,,,
Tox2,L5/6 NP,,,,,,,,,,,
Syt6,L6 CT,,,,,,,,,,,
Trh,L6 CT,,,,,,,,,,,
Lamp5,LAMP5,,,,,,,,,,,
Ndnf,LAMP5,,,,,,,,,,,
Pvalb,PVALB,,,,,,,,,,,
Nts,PVALB,,,,,,,,,,,
Tac1,PVALB,,,,,,,,,,,
Sncg,SNCG,,,,,,,,,,,
Sst,SST,,,,,,,,,,,
Calb1,SST,,,,,,,,,,,
Vip,VIP,,,,,,,,,,,
Calb2,VIP,,,,,,,,,,,
Pthlh,VIP,,,,,,,,,,,
Crh,VIP,,,,,,,,,,,
Gad1,Inhibitory,,,,,,,,,,,
Serpinf1,Inhibitory,,,,,,,,,,,
Cnr1,Inhibitory,,,,,,,,,,,
Lhx6,Inhibitory,,,,,,,,,,,
Slc32a1,Inhibitory,,,,,,,,,,,
Slc17a7,Excitatory,,,,,,,,,,,
Fezf2,Excitatory,,,,,,,,,,,
Htr2c,Excitatory,,,,,,,,,,,
Dpp4,Excitatory,,,,,,,,,,,
Slc17a6,Excitatory,,,,,,,,,,,
Hbb-bs,RBC related,,,,,,,,,,,
Tjp1,IMMUNOLOGY/COMPLEMENT/BBB,,,,,,,,,,,
Serpina3n,IMMUNOLOGY/COMPLEMENT/BBB,,,,,,,,,,,
Opcml,Extras if space,,,,,,,,,,,
Mt1,Lance's List,,,,,,,,,,,
Mt2 ,Lance's List,,,,,,,,,,,
Mt3,Lance's List,,,,,,,,,,,
Tmem119,MICROGLIA,,,,,,,,,,,
Aif1,MICROGLIA,,,,,,,,,,,
Trem2,MICROGLIA,,,,,,,,,,,
P2ry12,MICROGLIA,,,,,,,,,,,
